GUILDFORD TEMPLE COURT,,,,,,,,,,,,
Grid ref,TQ037513,Long,-0.515497,Lat,51.251450,,,,,,,
Station no,RR8401,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.41,1.22,0.90,2.35,4.14,1.20,4.23,1.02,1.42,1.00,,
February,5.52,2.10,0.90,1.73,3.53,0.55,2.06,1.49,0.97,0.44,,
March,1.23,1.95,1.84,2.98,1.32,4.03,1.33,0.83,2.95,4.32,,
April,0.80,2.72,1.09,1.79,1.33,1.54,0.41,4.06,2.58,2.23,,
May,0.99,0.47,2.05,3.48,2.92,0.54,1.44,1.77,2.08,1.95,,
June,2.96,1.08,3.65,5.65,0.54,5.27,1.92,1.71,1.82,3.48,,
July,1.16,1.84,1.18,4.62,0.92,0.54,0.32,1.61,1.82,2.44,,
August,2.65,1.35,2.85,4.97,2.23,2.82,0.93,2.65,3.56,2.37,,
September,0.52,1.59,1.04,3.78,1.59,2.18,1.53,0.57,1.43,2.65,,
October,2.16,2.25,1.98,7.40,1.97,1.61,4.93,4.78,2.35,5.56,,
November,2.21,0.60,2.56,2.36,1.51,3.88,4.73,2.14,0.87,0.55,,
December,2.80,4.35,1.59,2.50,2.79,0.62,2.41,3.33,2.56,3.69,,
Total,26.41,21.52,21.63,43.61,24.79,24.78,26.24,25.96,24.41,30.68,,
Calc annual,26.41,21.52,21.63,43.61,24.79,24.78,26.24,25.96,24.41,30.68,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
