"ESKDALEMUIR OBSY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5041,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,4.92,,,,,,,,
February,,,,5.73,,,,,,,,
March,,,,2.44,,,,,,,,
April,,,,3.66,,,,,,,,
May,,,3.69,3.37,,,,,,,,
June,,,2.73,1.78,,,,,,,,
July,,,6.48,4.36,,,,,,,,
August,,,3.98,,,,,,,,,
September,,,3.04,,,,,,,,,
October,,,4.35,,,,,,,,,
November,,,2.49,,,,,,,,,
December,,,5.44,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,32.20,26.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
