LICHFIELD (SANDFIELDS),,,,,,,,,,,,
Grid ref,SK110083,Long,-1.838761,Lat,52.672298,,,,,,,
Station no,2345/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.19,3.85,1.18,1.79,2.99,5.50,,
February,,,,,2.21,0.60,2.31,4.53,0.27,2.12,,
March,,,,,3.17,1.21,2.08,1.69,1.78,1.65,,
April,,,,,1.11,1.64,0.23,0.86,3.05,0.83,,
May,,,,,4.00,0.55,0.89,1.75,0.51,1.55,,
June,,,,,2.62,1.97,1.49,3.87,0.91,2.78,,
July,,,,,0.88,2.83,2.70,6.26,1.62,3.35,,
August,,,,,0.66,3.77,4.44,1.97,1.88,5.24,,
September,,,,,2.20,2.22,6.19,3.15,0.11,5.20,,
October,,,,,1.59,1.62,1.46,2.57,2.39,5.61,,
November,,,,,2.21,0.99,2.06,1.75,3.66,3.95,,
December,,,,,1.74,3.03,1.38,2.94,3.75,3.38,,
Total,,,,,24.58,24.28,26.41,33.13,22.92,41.16,,
Calc annual,0.00,0.00,0.00,0.00,24.58,24.28,26.41,33.13,22.92,41.16,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
