"LEEK WALL GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,2.65,3.68,3.60,1.99,5.46,3.54,1.86,1.40,,
February,,,2.76,3.58,2.22,2.25,0.78,0.69,1.64,2.40,,
March,,,2.57,1.53,2.92,1.85,2.87,1.84,2.51,3.43,,
April,,,4.16,1.86,1.25,2.18,1.62,0.75,1.83,2.80,,
May,,,2.17,0.94,1.76,2.48,5.53,1.94,1.08,3.83,,
June,,,7.00,4.56,1.83,3.63,1.34,0.93,3.21,0.73,,
July,,,6.33,3.57,3.59,1.29,3.43,1.31,5.52,3.67,,
August,,,4.22,2.19,2.81,1.43,1.86,2.34,3.47,6.67,,
September,,,2.09,7.32,2.91,4.55,2.61,3.78,0.94,4.03,,
October,,,5.03,4.74,2.06,5.46,5.14,2.47,1.20,3.00,,
November,,,7.02,3.72,2.29,2.94,2.89,1.71,5.16,2.02,,
December,,,6.12,2.28,3.13,1.83,5.35,2.31,2.52,3.37,,
Total,,,52.12,39.97,30.37,31.88,38.88,23.61,30.94,37.35,,
Calc annual,0.00,0.00,52.12,39.97,30.37,31.88,38.88,23.61,30.94,37.35,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
