"NEW MILTON, WHITE COTTAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,633/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.92,4.06,4.58,1.44,3.23,5.51,5.09,2.15,,,,
February,0.49,0.12,2.72,5.74,0.43,4.07,1.93,3.33,,,,
March,2.31,1.28,3.05,1.57,1.73,0.57,0.56,2.90,,,,
April,3.13,1.13,3.42,3.68,2.79,2.76,3.07,2.21,,,,
May,1.20,1.29,0.62,1.80,3.83,3.61,2.01,0.94,,,,
June,2.47,0.31,1.23,0.46,2.26,0.01,3.85,2.19,,,,
July,5.40,0.70,4.19,0.67,4.54,2.85,1.72,2.47,,,,
August,1.20,1.91,3.51,2.28,3.04,4.18,0.80,3.87,,,,
September,2.13,0.78,1.76,2.47,4.66,3.21,0.67,5.51,,,,
October,2.94,1.21,1.39,5.10,4.99,3.63,3.31,2.11,,,,
November,1.41,2.23,2.01,1.28,2.90,2.98,9.79,3.76,,,,
December,3.07,1.48,5.00,2.95,5.15,3.85,0.64,4.54,,,,
Total,29.67,16.50,33.48,29.44,39.55,37.23,33.44,35.98,,,,
Calc annual,29.67,16.50,33.48,29.44,39.55,37.23,33.44,35.98,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,
