"NEW MILTON (MANOR ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,633/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.43,1.98,2.07,2.80,1.08,5.30,6.30,4.11,5.99,3.51,,
February,2.12,0.05,4.04,0.05,3.14,3.10,6.00,0.68,1.74,4.01,,
March,1.46,1.51,3.27,2.99,1.18,2.84,3.89,0.32,1.20,3.59,,
April,3.05,2.68,1.74,3.00,3.48,1.69,2.96,0.02,2.27,0.99,,
May,3.36,4.10,2.03,0.74,1.03,0.48,3.69,1.79,1.23,1.54,,
June,2.36,2.04,1.41,1.11,4.18,1.89,0.65,1.17,2.17,0.23,,
July,4.43,4.32,2.18,2.41,0.57,4.70,1.74,2.59,3.70,2.82,,
August,3.59,1.15,1.25,3.89,3.12,0.26,1.60,1.70,2.43,0.05,,
September,1.44,3.84,2.40,2.49,3.61,3.99,2.35,1.18,1.42,1.94,,
October,0.78,6.29,1.63,1.81,5.16,1.24,4.87,3.79,5.89,3.76,,
November,4.39,2.12,0.74,3.42,8.16,2.75,2.35,4.72,6.62,7.92,,
December,0.83,1.15,1.30,9.21,4.07,3.49,6.03,3.75,1.76,3.06,,
Total,30.24,31.23,24.06,33.92,38.78,31.73,42.43,25.82,36.42,33.42,,
Calc annual,30.24,31.23,24.06,33.92,38.78,31.73,42.43,25.82,36.42,33.42,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
