HINCKLEY-WOODLAND-ROAD,,,,,,,,,,
Grid ref,SP4352294316,Long,-1.3596598,Lat,52.544964,Elevation,430,ft,,
Station no,2497/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.84,3.82,1.29,2.85,2.96,3.56
February,,,,,1.9,0.63,2.7,3.68,0.03,1.83
March,,,,,2.52,0.86,2.25,1.68,1.89,1.25
April,,,,,0.88,0.72,0.19,0.95,2.84,1.13
May,,,,,3.73,0.7,1.65,1.97,0.62,1.06
June,,,,,2.49,3.08,1.17,4.69,1.24,3.91
July,,,,,1.33,2.42,2.57,5.26,1.92,2.7
August,,,,,0.41,5.08,3.3,2.21,1.17,2.45
September,,,,,1.43,1.91,4.49,2.32,0.09,3.56
October,,,,,1.36,1.28,0.95,2.19,2.21,4.62
November,,,,,1.7,0.73,1.72,1.74,2.52,3.03
December,,,,,1.86,3.06,2.15,2.62,3.43,2.86
Total,,,,,21.45,24.29,24.43,32.16,20.92,31.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
