BURRA ISLE,,,,,,,,,,
Grid ref,HU373337,Long,-1.331341,Lat,60.086253,Elevation,100,ft,,
Station no,5829/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.51,3.49,2.87,2.94,6.06,5.12,6.87,4.82,2.71
February,,2.11,3.83,5.58,3.27,0.94,4.85,3.08,1.14,5.52
March,,6.87,1.59,3.15,1.96,3.71,3.77,1.93,1.57,0.98
April,,1.53,2.72,1.76,2.79,2.56,2.23,1.61,,2.63
May,,3.15,1.73,1.4,2.41,2.68,2.51,3.64,,1.3
June,,3.55,0.34,4.72,1.11,2.85,1.52,0.33,1.88,2.15
July,,2.16,4.17,3.46,1.06,2.39,3.09,3.76,1.89,1.4
August,4.6,5.57,4,2.57,0.78,,3.02,2.37,1.5,0.83
September,2.5,3.68,3.53,5.14,3.06,3.37,3.38,2.73,1.18,2.74
October,2.07,3.92,2.74,5.53,4.73,4.58,4.58,3.76,3.44,3.27
November,6.23,2.95,5.41,7.39,2.18,3.59,3.45,2.11,6.4,6.02
December,7.17,5.29,3.89,6.16,4.64,,4.72,5.86,10.13,4.11
Total,,47.29,37.44,49.73,30.93,,42.24,38.05,,33.66
,,,,,,,,,,
BR 1952 P ,,,,,,,,,,
BR 1956 NP Au Dec Est Deleted,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP inc,,,,,,,,,,
BR 1960 NP on insp,,,,,,,,,,
,,,,,,,,,,
Station no,5829/8,,,,,,,,,
Midas,14393,,,,,,,,,
Hyd Stn,764137,,,,,,,,,
