CORWEN (RHYDYGLAFES),,,,,,,,,,,,
Grid ref,SJ048399,Long,-3.418302,Lat,52.948008,,,,,,,
Station no,4327/5/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.06,5.54,6.94,,
February,,,,,,,,6.17,0.36,5.23,,
March,,,,,,,,0.89,2.60,2.12,,
April,,,,,,,,1.14,5.07,2.63,,
May,,,,,,,,3.92,2.10,1.92,,
June,,,,,,,,4.62,1.38,1.29,,
July,,,,,,,,4.79,3.83,2.49,,
August,,,,,,,,3.49,2.01,3.82,,
September,,,,,,,,6.35,0.33,5.96,,
October,,,,,,,,3.87,5.51,5.93,,
November,,,,,,,3.37,1.88,5.80,8.79,,
December,,,,,,,3.15,3.95,10.12,5.00,,
Total,,,,,,,,46.13,44.65,52.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,6.52,46.13,44.65,52.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
