"HAM, REDHILL, SURREY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8820,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,3.46,0.62,3.46,2.63,,3.31,,,,,,
February,0.95,2.80,0.70,0.64,,1.61,,,,,,
March,2.64,2.41,4.14,0.34,,1.34,,,,,,
April,2.49,0.91,2.59,0.54,,0.45,,,,,,
May,3.11,0.32,3.15,1.48,,3.65,,,,,,
June,5.37,2.93,2.60,3.23,,0.86,,,,,,
July,2.49,3.11,1.30,0.88,,3.09,,,,,,
August,4.31,0.66,2.13,1.75,,4.52,,,,,,
September,1.90,2.41,1.52,3.77,,0.29,,,,,,
October,2.62,1.62,5.19,2.55,,6.69,,,,,,
November,3.01,5.27,1.18,1.76,,2.41,,,,,,
December,2.40,1.09,1.88,1.40,,1.32,,,,,,
Total,34.75,24.15,29.84,20.97,,29.54,,,,,,
Calc annual,34.75,24.15,29.84,20.97,0.00,29.54,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,NaN,0.00,NaN,NaN,NaN,NaN,,
