"BALBEGGIE (TULLACH ARD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5572/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,,1.23,,
February,,,,,,,,,,1.62,,
March,,,,,,,,,,3.64,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,2.45,,,
September,,,,,,,,,2.18,,,
October,,,,,,,,,4.92,,,
November,,,,,,,,,5.01,,,
December,,,,,,,,,1.83,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.39,6.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
