"BARHAM HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,289/7,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,1.62,4.96,6.05,3.66,5.87,2.58,,
February,,,,,3.99,2.69,4.59,1.30,1.25,1.89,,
March,,,,,0.25,1.49,5.79,0.52,2.20,2.70,,
April,,,,,3.63,1.66,2.69,0.77,2.69,1.16,,
May,,,,,2.50,0.26,3.53,2.86,2.37,0.74,,
June,,,,,2.71,3.37,1.52,1.44,1.76,0.97,,
July,,,,,0.39,5.30,0.95,2.24,1.88,3.58,,
August,,,,,4.24,0.86,1.08,2.30,2.64,0.05,,
September,,,,,4.32,3.26,3.44,3.03,3.32,1.68,,
October,,,,,4.17,2.86,3.18,3.62,11.24,3.79,,
November,,,,,6.64,4.74,1.17,3.11,5.10,6.87,,
December,,,,,4.21,3.04,6.72,3.31,1.75,1.83,,
Total,,,,,38.67,34.49,40.71,28.16,42.07,27.84,,
Calc annual,0.00,0.00,0.00,0.00,38.67,34.49,40.71,28.16,42.07,27.84,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,,
