"RIVINGTON (STONESHOUSE) NO. 3",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3000,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.85,4.49,2.86,3.15,2.34,4.75,2.81,4.42,5.54,2.60,,
February,4.36,0.10,3.33,0.28,4.92,2.97,5.12,1.35,4.36,2.57,,
March,0.83,2.94,2.71,2.49,1.22,2.77,2.08,1.45,2.21,2.64,,
April,3.24,2.90,1.75,2.74,3.17,1.39,3.40,0.46,3.00,2.77,,
May,2.34,4.88,2.05,3.50,1.35,2.05,2.77,4.39,1.57,1.22,,
June,6.55,0.79,3.17,2.18,3.10,5.12,2.11,4.85,3.56,0.99,,
July,3.79,5.05,2.71,2.05,2.11,4.65,2.11,4.69,6.77,5.78,,
August,5.15,1.06,3.14,5.12,1.68,2.74,2.34,3.33,2.21,2.53,,
September,5.61,5.38,0.86,3.70,7.49,4.22,1.82,3.14,1.42,4.32,,
October,2.67,7.69,3.88,5.31,7.06,3.99,2.24,8.61,2.38,4.69,,
November,8.10,3.33,2.46,2.67,4.75,5.81,2.18,5.58,6.34,7.43,,
December,2.44,1.90,0.56,6.11,3.60,4.36,2.51,5.68,2.34,4.72,,
Total,49.93,40.51,29.48,39.30,42.79,44.82,31.49,47.95,41.70,42.26,,
Calc annual,49.93,40.51,29.48,39.30,42.79,44.82,31.49,47.95,41.70,42.26,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
