"GLENMORISTON (CEANNACROC)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5711/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,6.48,15.90,12.49,15.20,6.60,2.99,10.22,13.78,4.84,0.89,,
February,5.31,0.21,5.73,2.90,16.92,2.51,6.97,12.10,11.89,2.15,,
March,1.95,2.35,3.22,5.01,3.62,3.17,1.90,17.48,5.50,4.26,,
April,2.83,6.70,5.29,5.97,2.94,2.69,0.85,1.51,3.97,4.07,,
May,7.30,3.40,1.48,3.96,0.81,1.78,2.43,3.62,1.16,1.20,,
June,4.76,0.80,2.18,1.54,3.63,1.38,2.89,7.18,1.50,1.89,,
July,4.97,5.13,3.07,4.82,1.64,3.94,3.64,4.32,6.17,7.27,,
August,2.53,4.52,5.00,4.64,4.26,2.61,3.42,2.98,1.93,2.66,,
September,1.08,5.71,1.04,7.69,8.70,3.32,7.25,4.54,1.89,3.10,,
October,8.33,8.11,9.11,10.59,14.59,8.85,2.30,13.00,1.37,6.24,,
November,7.18,13.10,2.89,2.25,7.01,4.72,0.89,15.26,10.85,10.66,,
December,8.85,10.86,1.62,6.52,2.83,16.71,2.01,-999.00,2.94,7.71,,
Total,61.57,76.79,53.12,71.09,73.55,54.67,44.77,103.10,54.01,52.10,,
Calc annual,61.57,76.79,53.12,71.09,73.55,54.67,44.77,95.77,54.01,52.10,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,7.33,0.00,0.00,,
