"CARLUKE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5168/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.28,5.18,3.13,3.87,1.86,2.96,3.18,5.10,3.45,2.42,,
February,2.49,0.17,2.90,0.39,3.60,2.45,4.08,1.02,3.26,1.27,,
March,0.98,2.43,1.74,2.50,1.94,1.87,1.11,2.15,2.98,3.33,,
April,2.18,2.36,1.59,3.91,3.21,0.93,1.29,0.52,1.78,2.85,,
May,2.64,2.79,2.41,2.29,0.97,1.08,1.37,3.61,0.64,3.13,,
June,4.91,1.41,1.97,2.37,4.30,1.58,2.37,4.16,1.96,0.72,,
July,4.37,3.25,4.79,3.39,1.40,2.96,4.17,3.11,3.36,5.01,,
August,2.49,0.86,1.82,3.47,2.43,2.32,4.09,2.22,1.07,1.67,,
September,0.89,4.00,1.35,2.89,5.13,4.32,1.67,2.49,2.12,3.71,,
October,2.92,4.76,2.42,5.04,7.33,3.32,3.80,7.99,1.53,2.77,,
November,5.31,2.76,1.40,1.23,4.36,3.25,0.49,5.77,5.89,4.19,,
December,2.77,6.79,0.43,3.46,1.92,3.81,2.01,2.35,1.43,3.62,,
Total,34.23,36.76,25.95,34.81,38.45,30.85,29.63,40.49,29.47,34.69,,
Calc annual,34.23,36.76,25.95,34.81,38.45,30.85,29.63,40.49,29.47,34.69,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
