GLOUCESTER (THE SPA),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7012,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,1.15,2.18,,,,,,
February,,,,,1.23,1.57,,,,,,
March,,,,,2.27,0.77,,,,,,
April,,,,,0.58,0.79,,,,,,
May,,,,,1.40,1.78,,,,,,
June,,,,,1.14,1.43,,,,,,
July,,,,,0.52,3.47,,,,,,
August,,,,,0.81,2.22,,,,,,
September,,,,,2.20,0.09,,,,,,
October,,,,,1.97,3.38,,,,,,
November,,,,,1.92,2.37,,,,,,
December,,,,,2.09,1.80,,,,,,
Total,,,,,17.28,21.85,,,,,,
Calc annual,0.00,0.00,0.00,0.00,17.28,21.85,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
