DUNSTER KNOWLE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8794,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,5.91,4.10,1.91,4.07,4.22,3.95,,,,,,
February,1.46,0.00,4.19,5.36,3.16,0.18,,,,,,
March,1.66,2.34,0.96,0.28,3.29,3.50,,,,,,
April,2.82,1.06,1.48,0.13,2.18,1.98,,,,,,
May,2.42,4.32,1.02,2.62,1.83,0.65,,,,,,
June,1.84,1.51,1.98,0.70,1.37,1.47,,,,,,
July,4.21,4.00,1.97,3.62,3.65,3.18,,,,,,
August,3.73,5.42,3.30,1.83,4.15,2.86,,,,,,
September,0.80,2.43,2.72,2.59,2.12,0.88,,,,,,
October,1.67,8.46,4.72,4.42,5.27,5.58,,,,,,
November,4.10,4.49,3.27,2.71,6.87,7.58,,,,,,
December,2.35,5.75,1.61,5.98,2.58,4.62,,,,,,
Total,32.97,43.88,29.13,34.31,40.69,36.43,,,,,,
Calc annual,32.97,43.88,29.13,34.31,40.69,36.43,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
