"MINDRUM (NEW SITE)",,,,,,,,,,,,
Grid ref,NT843327,Long,-2.250640,Lat,55.587683,,,,,,,
Station no,3599/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.27,,
February,,,,,,,,,,1.93,,
March,,,,,,,,,,1.15,,
April,,,,,,,,,1.41,0.88,,
May,,,,,,,,,0.55,1.25,,
June,,,,,,,,,1.99,1.15,,
July,,,,,,,,,1.92,3.36,,
August,,,,,,,,,0.41,4.64,,
September,,,,,,,,,0.77,1.98,,
October,,,,,,,,,1.63,6.15,,
November,,,,,,,,,5.40,2.43,,
December,,,,,,,,,2.96,2.21,,
Total,,,,,,,,,,30.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.04,30.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
