"WEST MALLING, HARDRES, WISTERIA HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8360,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,2.64,3.78,2.00,,2.12,0.48,,,
February,,,,3.62,2.02,1.62,,2.53,1.36,,,
March,,,,0.67,1.29,1.76,,4.20,2.01,,,
April,,,,0.03,2.20,1.68,,2.03,1.22,,,
May,,,,0.95,1.77,0.09,,1.43,4.07,,,
June,,,,0.82,2.40,0.16,,2.52,2.01,,,
July,,,,2.85,4.28,4.04,,0.22,0.46,,,
August,,,,1.58,2.17,2.21,,2.18,1.45,,,
September,,,,2.51,2.71,0.49,,2.68,0.37,,,
October,,,,4.07,3.95,2.47,,1.58,2.53,,,
November,,,,3.05,3.72,6.42,,1.14,3.07,,,
December,,,,2.47,1.88,3.71,,3.29,2.25,,,
Total,,,,25.26,32.17,26.65,,25.92,21.28,,,
Calc annual,0.00,0.00,0.00,25.26,32.17,26.65,0.00,25.92,21.28,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,0.00,0.00,NaN,,
