MAGHULL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6960,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,0.80,2.34,3.91,3.61,1.60,3.77,2.36,1.32,0.66,,
February,,4.95,1.60,1.77,2.18,2.92,1.20,0.64,0.82,1.90,,
March,,2.94,2.72,1.07,2.40,2.23,2.58,1.67,2.91,1.70,,
April,,1.33,3.65,1.15,1.48,1.44,1.57,0.68,1.24,2.82,,
May,,3.25,1.21,0.63,1.33,1.36,4.74,1.99,0.49,2.47,,
June,,2.91,4.38,2.49,1.45,2.02,1.33,1.05,2.02,0.66,,
July,,3.86,6.50,3.38,3.32,2.07,4.27,1.10,5.55,2.61,,
August,,5.77,2.99,2.27,2.40,2.56,2.45,1.90,3.17,4.43,,
September,,2.47,2.61,4.65,2.00,3.96,3.78,3.57,1.11,2.86,,
October,,2.91,2.94,5.57,1.60,5.74,3.89,3.17,2.02,2.87,,
November,,2.83,5.29,2.89,1.74,3.23,2.98,1.23,4.17,1.99,,
December,,3.01,3.70,1.63,3.12,1.84,4.52,2.25,1.43,2.82,,
Total,,37.03,39.93,31.41,26.63,30.97,37.08,21.61,26.25,27.79,,
Calc annual,0.00,37.03,39.93,31.41,26.63,30.97,37.08,21.61,26.25,27.79,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
