HOBHOLE PUMPING STATION,,,,,,,,,,
Grid ref,TF365399,Long,0.030,Lat,52.939,Elevation,15,ft,,
Station no,2536/4/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.60,3.22
February,,,,,,,,,0.08,2.48
March,,,,,,,,,2.34,1.16
April,,,,,,,,0.42,1.18,0.43
May,,,,,,,,2.38,0.34,0.49
June,,,,,,,,2.92,0.60,0.58
July,,,,,,,,3.72,1.97,4.00
August,,,,,,,,1.35,0.81,4.96
September,,,,,,,,2.17,0.48,2.48
October,,,,,,,,1.80,1.35,4.60
November,,,,,,,,0.94,1.27,3.67
December,,,,,,,,2.59,3.45,4.24
Total,,,,,,,,,16.47,32.31
,,,,,,,,,,
TYRain_1951-1960_15_pt1/185,,,,,,,,,,
,,,,,,,,,,
# The station is still active according to MIDAS. (MIDAS src_id = 3965),,,,,,,,,,
