NEW GALLOWAY HOLM,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7261,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,2.84,9.74,4.12,3.90,,
February,,,,,,,5.33,3.17,2.28,,,
March,,,,,,,3.24,2.63,1.54,,,
April,,,,,,,2.40,3.04,3.22,,,
May,,,,,,,0.73,0.98,4.41,,,
June,,,,,,,4.46,3.68,2.50,,,
July,,,,,,,1.95,3.38,0.27,,,
August,,,,,,,2.03,5.40,3.41,,,
September,,,,,,,3.23,2.17,4.32,,,
October,,,,,,,7.15,6.96,4.95,,,
November,,,,,,,3.43,8.75,1.64,,,
December,,,,,,,8.07,3.37,,,,
Total,,,66.06,40.86,44.03,48.66,44.86,53.27,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.86,53.27,32.66,3.90,,
Difference,NaN,NaN,66.06,40.86,44.03,48.66,0.00,0.00,NaN,NaN,,
