"LANGSIDE (BY QUEENS PARK GLASGOW)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2790,,,,,,,,,,,
,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,,
January,,,1.56,0.69,,3.09,7.40,1.64,,,,
February,,,2.62,5.62,,4.29,3.28,5.26,,,,
March,,,4.43,1.07,,3.19,6.02,1.24,,,,
April,,,2.54,1.77,,1.77,2.99,1.39,,,,
May,,,1.77,1.38,,3.48,0.58,1.34,,,,
June,,,4.49,3.90,,1.23,3.21,1.46,,,,
July,,,1.34,1.85,,2.96,8.27,3.45,,,,
August,,,4.23,1.76,,2.48,4.35,2.98,,,,
September,,3.55,1.98,1.57,,6.69,7.26,2.38,,,,
October,,2.42,7.44,3.99,,2.79,3.55,6.49,,,,
November,,7.73,,3.56,,5.43,4.55,5.23,,,,
December,,5.49,,10.21,,3.08,6.30,3.89,,,,
Total,,,40.49,37.38,,40.48,57.76,36.75,,,,
Calc annual,0.00,19.19,32.40,37.37,0.00,40.48,57.76,36.75,0.00,0.00,,
Difference,NaN,NaN,8.09,0.01,NaN,-0.00,0.00,0.00,NaN,NaN,,
