KIRKMICHAEL (WOODHILL),,,,,,,,,,,,
Grid ref,NO098544,Long,-3.473558,Lat,56.672632,,,,,,,
Station no,5569/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.43,3.14,1.68,3.63,,
February,,,,,,,4.60,2.00,0.63,5.37,,
March,,,,,,,3.03,3.22,3.65,2.46,,
April,,,,,,,1.15,0.84,3.53,5.69,,
May,,,,,,,2.22,3.15,1.59,2.16,,
June,,,,,,,1.49,3.35,2.07,2.55,,
July,,,,,,,4.23,3.10,4.35,3.39,,
August,,,,,,,4.05,4.19,1.09,5.22,,
September,,,,,,,1.84,5.14,0.96,2.25,,
October,,,,,,2.03,2.06,2.71,4.40,5.47,,
November,,,,,,1.67,1.08,0.97,5.56,4.42,,
December,,,,,,5.28,4.75,5.99,8.43,3.07,,
Total,,,,,,,34.93,37.80,37.94,45.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,8.98,34.93,37.80,37.94,45.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
