LISKEARD (LITTLE TRETHEW),,,,,,,,,,,,
Grid ref,SX280602,Long,-4.422380,Lat,50.416419,,,,,,,
Station no,1932/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.01,1.64,4.57,3.84,4.11,6.02,8.94,4.71,,
February,,,1.35,4.69,4.20,0.47,6.08,5.35,0.10,4.52,,
March,,,0.87,3.96,1.20,2.23,4.59,2.37,6.61,4.68,,
April,,,2.42,0.62,1.50,0.97,0.16,0.91,4.40,4.47,,
May,,,4.29,3.58,3.41,1.08,3.36,5.10,1.09,2.60,,
June,,,2.89,3.37,2.46,2.98,3.03,4.13,2.06,2.31,,
July,,,4.19,3.14,0.57,6.13,3.53,3.92,1.88,5.81,,
August,,,2.57,2.97,0.13,5.24,4.32,7.03,2.64,3.68,,
September,,,3.37,3.85,1.60,7.32,4.57,7.40,0.16,5.56,,
October,,5.37,4.15,3.54,2.92,2.83,3.99,4.51,6.41,10.83,,
November,,3.37,3.72,7.45,3.61,1.65,2.39,3.62,10.04,8.80,,
December,,4.35,0.89,3.03,6.34,7.92,3.69,6.55,10.41,6.81,,
Total,,,-999.00,41.84,32.51,42.66,43.82,56.91,54.74,64.78,,
Calc annual,0.00,13.09,31.72,41.84,32.51,42.66,43.82,56.91,54.74,64.78,,
Difference,NaN,NaN,-1030.72,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
