"MIDDLETON IN TEESDALE NEWBIGGIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3521,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,8.66,3.08,4.06,3.64,6.12,5.69,4.45,9.76,2.40,8.07,
February,,0.33,4.33,5.44,0.69,6.41,3.57,1.96,4.30,1.35,2.06,
March,,2.50,3.10,1.99,1.24,1.67,2.34,3.74,4.92,0.34,2.89,
April,,1.13,3.49,2.79,1.99,5.05,2.52,2.78,0.99,1.56,4.05,
May,,2.22,0.93,3.83,4.14,4.38,2.57,2.32,2.28,1.90,2.01,
June,,0.01,1.23,0.95,4.41,0.05,3.73,3.38,6.14,1.77,2.42,
July,,1.72,4.86,2.51,4.39,3.85,4.36,4.73,2.63,4.00,6.26,
August,,5.10,3.43,6.76,2.46,3.26,3.65,9.22,7.33,3.44,6.06,
September,,1.55,4.36,3.39,5.69,4.26,3.96,7.17,1.53,1.82,5.32,
October,,2.04,1.72,6.45,4.46,4.94,5.25,4.56,5.79,5.12,4.86,
November,,3.10,1.64,6.56,3.52,2.22,6.61,5.23,6.97,5.91,6.16,
December,,7.34,7.70,2.13,6.37,5.45,1.48,3.48,3.22,9.47,4.89,
Total,,35.70,39.87,46.86,43.00,47.66,45.73,53.02,55.86,39.08,55.05,
Calc annual,0.00,35.70,39.87,46.86,43.00,47.66,45.73,53.02,55.86,39.08,55.05,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
