FORDOUN (AUCHENBLAE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5615/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.01,2.12,2.33,1.92,1.23,5.54,6.81,3.36,4.44,1.71,,
February,1.83,0.28,2.91,0.36,2.21,4.44,3.37,1.12,2.57,2.30,,
March,1.02,2.73,2.36,3.22,2.27,2.23,4.13,0.65,3.41,2.68,,
April,2.65,3.40,1.55,8.59,5.41,0.48,2.02,0.85,0.57,1.75,,
May,2.98,3.59,1.29,2.64,1.93,1.29,2.03,3.12,1.33,1.25,,
June,4.21,1.27,1.20,1.17,4.08,1.04,1.76,3.46,1.25,0.48,,
July,3.97,3.36,3.07,2.28,1.67,4.85,3.15,4.66,3.77,7.57,,
August,3.05,1.26,1.27,3.60,2.14,0.89,3.48,2.12,1.82,1.45,,
September,1.31,1.64,2.63,3.09,4.21,3.33,1.13,3.59,2.85,2.25,,
October,1.07,8.57,4.90,3.84,4.76,0.97,3.20,3.81,5.40,4.78,,
November,5.87,1.52,3.89,1.50,6.25,1.60,0.97,3.80,4.54,6.21,,
December,1.22,2.38,2.33,6.13,3.14,1.96,5.64,5.41,2.14,2.97,,
Total,32.19,32.12,29.73,38.34,39.30,28.62,37.69,35.95,34.09,35.40,,
Calc annual,32.19,32.12,29.73,38.34,39.30,28.62,37.69,35.95,34.09,35.40,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
