"CALLINGTON HINGSTON DOWN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR42,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,8.85,4.86,2.27,3.78,6.44,4.98,1.40,3.68,1.44,6.99,,
February,2.39,0.08,3.03,7.73,3.93,0.06,1.03,5.09,2.23,3.83,,
March,2.93,2.73,1.25,0.44,3.30,3.15,4.88,4.42,1.07,1.52,,
April,3.40,3.12,1.75,0.71,4.36,3.87,0.82,4.42,2.42,5.10,,
May,3.06,4.55,2.16,1.24,3.73,1.26,0.03,1.75,4.79,3.27,,
June,4.52,3.10,2.80,1.34,3.92,2.40,1.80,2.42,3.15,1.50,,
July,6.09,3.68,1.47,7.36,5.11,5.26,2.77,1.79,0.55,1.21,,
August,4.52,10.12,4.82,2.67,4.06,3.66,3.26,5.67,4.21,1.04,,
September,1.67,4.07,3.17,3.20,3.23,0.99,6.40,4.43,2.01,2.90,,
October,2.48,11.04,6.46,4.25,5.36,5.15,5.44,1.95,7.00,2.87,,
November,6.04,6.71,4.61,2.92,9.63,9.27,1.76,3.40,2.98,4.97,,
December,4.00,9.05,2.18,7.04,5.82,5.58,10.79,9.48,5.61,4.31,,
Total,49.95,63.11,35.97,42.68,58.89,45.63,40.38,48.50,37.46,39.51,,
Calc annual,49.95,63.11,35.97,42.68,58.89,45.63,40.38,48.50,37.46,39.51,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
