"BORROWDALE VICARAGE = ROSTHWAITE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,8.96,2.09,10.94,18.67,,
February,,,,,,,7.96,13.43,13.12,9.01,,
March,,,,,,,14.91,17.70,3.74,9.14,,
April,,,,,,,4.80,6.76,9.66,10.70,,
May,,,,,,,0.94,4.71,5.79,7.60,,
June,,,,,,,6.12,5.64,6.85,1.53,,
July,,,,,,,7.03,5.02,2.75,4.78,,
August,,,,,,,5.95,15.04,14.37,3.08,,
September,,,,,,,14.63,10.85,8.12,,,
October,,,,,,,10.70,7.35,9.27,,,
November,,,,,,,3.07,15.67,14.63,,,
December,,,,,,,15.34,20.43,22.13,6.50,,
Total,,,,,,,100.41,124.69,121.37,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,100.41,124.69,121.37,71.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
