"KIRKCUDBRIGHT SENWICK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,5.10,2.17,3.64,1.12,3.47,2.43,2.39,2.04,2.22,4.73,,
February,0.96,0.34,1.23,4.67,5.38,1.05,2.42,2.25,3.56,2.36,,
March,2.43,1.84,0.83,1.74,1.44,3.20,4.30,5.50,1.25,2.82,,
April,1.30,2.10,0.87,1.52,1.84,2.13,1.94,2.61,2.72,3.58,,
May,3.19,1.38,5.32,2.35,3.32,0.22,0.75,2.30,3.27,4.35,,
June,4.13,1.30,3.18,1.30,4.22,1.55,4.01,4.68,1.76,3.46,,
July,3.47,1.23,2.67,3.65,2.83,4.59,5.62,1.55,0.43,3.12,,
August,3.83,6.85,6.58,4.13,4.30,6.97,2.49,4.77,5.98,1.26,,
September,3.72,4.75,4.19,2.52,0.20,0.83,4.12,4.00,3.25,4.43,,
October,2.02,6.06,2.85,3.84,5.54,4.24,4.02,2.21,4.01,2.34,,
November,8.43,5.46,3.43,1.86,4.61,4.89,1.91,4.35,3.73,3.46,,
December,1.70,6.92,2.35,4.43,4.43,5.01,5.69,6.47,4.32,5.70,,
Total,40.28,40.40,37.14,33.13,41.58,37.11,39.66,42.73,36.50,41.61,,
Calc annual,40.28,40.40,37.14,33.13,41.58,37.11,39.66,42.73,36.50,41.61,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
