"CARLISLE ROSE CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,0.39,3.53,1.17,,0.80,,,,
February,,,,4.55,5.93,0.49,,2.08,,,,
March,,,,1.45,1.93,3.39,,4.49,,,,
April,,,,1.19,1.76,1.18,,1.07,,,,
May,,,,1.19,3.13,0.58,,1.17,,,,
June,,,,2.29,3.86,1.37,,3.99,,,,
July,,,,3.07,2.53,5.62,,1.48,,,,
August,,,,3.13,3.37,5.22,,3.66,,,,
September,,,,3.75,0.33,1.16,,4.23,,,,
October,,,,3.73,3.11,4.80,,1.16,,,,
November,,,,1.92,3.62,4.03,,3.57,,,,
December,,,,4.25,3.61,2.89,2.87,4.74,,,,
Total,,,,30.91,36.71,31.90,,32.44,,,,
Calc annual,0.00,0.00,0.00,30.91,36.71,31.90,2.87,32.44,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,-0.00,NaN,NaN,,
