"TENBURY ORLETON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,2.01,2.12,2.28,2.86,4.33,,,,,,
February,,0.07,1.57,3.69,2.40,0.17,,,,,,
March,,1.57,0.83,0.39,1.41,1.80,,,,,,
April,,2.04,0.97,0.69,1.27,2.24,,,,,,
May,,3.86,1.99,2.12,3.11,0.64,,,,,,
June,,2.53,3.06,1.68,1.70,0.86,,,,,,
July,,1.83,2.90,1.94,5.40,2.76,,,,,,
August,,4.16,3.59,2.13,2.75,2.49,,,,,,
September,,1.39,2.41,1.35,2.50,0.71,,,,,,
October,,7.18,2.21,2.41,3.91,2.51,,,,,,
November,,2.80,2.20,1.47,3.49,4.79,,,,,,
December,,3.63,1.28,4.40,1.87,2.17,,,,,,
Total,,33.07,25.13,24.55,32.67,25.47,,,,,,
Calc annual,0.00,33.07,25.13,24.55,32.67,25.47,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
