"DONCASTER WADWORTH HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.57,1.25,0.90,1.52,1.59,3.49,0.55,,,,,
February,0.87,0.03,2.10,2.86,2.93,0.21,0.81,,,,,
March,1.68,1.46,0.97,0.36,0.74,1.86,2.09,,,,,
April,0.39,1.50,1.23,0.39,3.11,2.31,1.00,,,,,
May,2.49,3.36,2.50,1.78,1.34,0.81,0.81,,,,,
June,2.06,2.72,3.64,1.49,2.55,2.61,3.55,,,,,
July,1.96,1.85,1.99,4.00,4.06,4.16,1.29,,,,,
August,2.56,3.52,1.89,1.38,1.66,1.50,1.67,,,,,
September,1.57,1.65,1.83,1.23,0.48,0.86,4.25,,,,,
October,1.05,3.14,4.93,1.41,3.57,2.81,3.52,,,,,
November,3.55,2.64,1.13,2.14,1.28,3.73,1.33,,,,,
December,0.52,3.62,0.43,2.64,1.30,2.52,2.78,,,,,
Total,21.27,26.74,23.54,21.20,24.61,26.87,23.65,,,,,
Calc annual,21.27,26.74,23.54,21.20,24.61,26.87,23.65,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
