BIGGIN SCHOOL,,,,,,,,,,,,
Grid ref,SK156593,Long,-1.768304,Lat,53.130637,,,,,,,
Station no,2648/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.71,6.20,,
February,,,,,,,,,0.32,3.50,,
March,,,,,,,,,2.32,2.97,,
April,,,,,,,,,4.30,2.13,,
May,,,,,,,,,1.22,1.69,,
June,,,,,,,,,1.66,2.84,,
July,,,,,,,,,2.09,4.96,,
August,,,,,,,,,0.95,6.35,,
September,,,,,,,,,0.12,5.50,,
October,,,,,,,,,3.10,7.66,,
November,,,,,,,,,6.08,5.79,,
December,,,,,,,,4.97,7.24,4.64,,
Total,,,,,,,,,33.11,54.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,33.11,54.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
