INVERNESS (FRASER PARK),,,,,,,,,,
Grid ref,NH675448,Long,-4.211131,Lat,57.474037,Elevation,103,ft,,
Station no,5701/6/1/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.27,1.98,,
February,,,,,,,2.56,1.7,,
March,,,,,,,3.1,1.05,,
April,,,,,,,0.68,1.49,,
May,,,,,,,1.74,2.61,,
June,,,,,,,6.27,1.29,,
July,,,,,,,,,,
August,,,,,,,3.71,,,
September,,,,,,,1.4,,,
October,,,,,,,1.78,,,
November,,,,,,,1.5,,,
December,,,,,,,3.04,,,
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5701/6/1/7,,,,,,,,,
Midas,14688,,,,,,,,,
Hyd Stn,805470,,,,,,,,,
