"STAINMORE, RAMPSON (OLD GAUGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3673/1,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,5.63,2.89,3.74,3.22,4.37,5.06,5.01,7.09,1.22,6.45,
February,,0.34,3.88,5.84,0.79,6.18,2.52,1.77,3.74,0.87,0.77,
March,,2.72,2.56,1.78,1.35,2.07,1.52,4.58,3.81,0.28,2.88,
April,,1.24,3.20,2.85,2.03,4.12,2.37,3.44,0.68,1.51,2.45,
May,,2.30,1.32,3.01,4.76,3.85,2.75,2.60,1.67,2.16,1.57,
June,,0.61,2.33,1.59,2.03,0.24,3.62,3.14,5.74,2.05,2.71,
July,,1.86,4.45,3.58,4.02,2.92,4.33,5.55,2.97,4.13,7.03,
August,2.27,5.62,2.90,6.04,2.89,3.93,4.28,8.64,8.74,3.85,6.79,
September,1.90,1.55,3.37,2.97,3.88,3.60,5.07,5.89,1.34,2.41,3.09,
October,2.19,2.83,1.69,6.31,3.98,4.27,3.35,3.38,5.36,4.84,5.58,
November,1.79,2.10,1.73,4.05,2.03,2.95,5.87,4.25,5.02,7.04,4.19,
December,6.51,4.94,5.58,3.11,6.42,5.19,1.33,1.90,2.62,8.19,3.75,
Total,,31.74,35.90,44.87,37.40,43.69,42.07,50.15,48.78,38.55,47.26,
Calc annual,14.66,31.74,35.90,44.87,37.40,43.69,42.07,50.15,48.78,38.55,47.26,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
