JERSEY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6553,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,3.82,4.83,4.41,3.95,1.38,3.05,,,,,
February,,0.96,1.45,1.94,0.83,2.83,1.38,,,,,
March,,5.14,1.14,1.27,0.36,3.62,1.23,,,,,
April,,1.55,1.37,2.13,0.16,0.26,3.73,,,,,
May,,1.30,2.93,1.23,3.82,2.76,2.65,,,,,
June,0.81,0.40,3.94,2.41,2.99,2.10,1.18,,,,,
July,1.06,1.52,2.17,2.14,0.88,2.83,2.04,,,,,
August,3.07,1.07,3.23,2.76,1.17,0.65,2.02,,,,,
September,2.22,1.08,4.13,3.47,1.09,1.54,3.02,,,,,
October,4.93,4.74,8.23,3.33,7.91,5.55,,,,,,
November,4.03,3.36,5.18,1.58,6.22,1.62,,,,,,
December,2.90,1.10,5.14,1.47,4.25,1.92,,,,,,
Total,,26.04,43.74,28.14,33.63,27.06,,,,,,
Calc annual,19.02,26.04,43.74,28.14,33.63,27.06,20.30,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
