BALLYLANE (WATERWORKS),,,,,,,,,,
Grid ref,IH965352,Long,-6.519851,Lat,54.256672,Elevation,480,ft,,
Station no,RR4189,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.9,3.94,2.72,4.28
February,,,,,,,3.16,3.97,1.4,3.11
March,,,,,,,3.5,0.97,3.7,2.33
April,,,,,,,1.45,1.37,3.21,3.47
May,,,,,,,2.06,2.68,1.59,2.99
June,,,,,,,1.38,5.98,1.91,2.62
July,,,,,,4.63,3.77,4.48,3.82,4.27
August,,,,,,6.93,5.75,5.36,1.18,4.65
September,,,,,,3.84,4.69,4.79,1.73,3.01
October,,,,,,2.71,3.89,3.62,5.2,5.23
November,,,,,,2.68,1.57,2.12,3.3,4.36
December,,,,,,5.64,5.35,5.39,7.03,3.62
Total,,,,,,,41.47,44.67,36.79,43.94
,,,,,,,,,,
16179,BALLYLANE W WKS ,01/01/1956,31/12/1990,,,,,,,
