BRAEMAR (IRRIGATION FARM),,,,,,,,,,
Grid ref,NO148921,Long,-3.404619,Lat,57.012145,Elevation,1060,ft,,
Station no,5627/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.64,4.68
February,,,,,,,,,0.5,4.4
March,,,,,,,,,2.04,1.24
April,,,,,,,,,2.7,3.03
May,,,,,,,,,1.25,1.28
June,,,,,,,,,1.99,1.27
July,,,,,,,,,2.75,2.31
August,,,,,,,,,1.61,5.52
September,,,,,,,,,0.63,3.54
October,,,,,,,,,5.64,7.97
November,,,,,,,,,6.49,3.78
December,,,,,,,,,5.47,2.45
Total,,,,,,,,,34.71,41.47
,,,,,,,,,,
Station no,5627/5,,,,,,,,,
Midas,14938,,,,,,,,,
Hyd Stn,843627,,,,,,,,,
