MULL (WHITE HOUSE OF AROS),,,,,,,,,,
Grid ref,NM564455,Long,-5.963807,Lat,56.538168,Elevation,20,ft,,
Station no,5452/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.75,3.04
February,,,,,,,,,2.15,4.82
March,,,,,,,,,5.45,1.71
April,,,,,,,,,5.15,4.31
May,,,,,,,,,1.25,2.82
June,,,,,,,,,3.8,3.41
July,,,,,,,,,7.2,4.04
August,,,,,,,,,3.2,3.72
September,,,,,,,,,2.85,3.48
October,,,,,,,,,7.45,2.27
November,,,,,,,,,7.68,8.65
December,,,,,,,,,10.17,8.65
Total,,,,,,,,,59.1,50.92
,,,,,,,,,,
Station no,5452/3,,,,,,,,,
Midas,14162,,,,,,,,,
hyd Stn,718585,,,,,,,,,
