"GLEN URQUHART (CORRIMONY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2033,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.82,9.63,6.59,7.40,4.38,2.93,6.93,6.83,4.09,0.57,,
February,4.93,0.44,2.94,1.24,7.23,1.94,5.11,3.76,4.43,0.95,,
March,1.13,2.53,1.50,3.99,2.00,1.82,2.58,4.38,3.65,,,
April,2.30,5.04,2.58,5.56,3.16,1.36,0.60,0.66,1.69,,,
May,3.70,2.08,1.68,2.29,3.16,1.65,1.13,2.35,0.61,,,
June,3.97,0.36,2.36,1.03,4.36,0.57,2.25,4.19,1.43,,,
July,3.87,5.15,3.04,3.66,1.36,4.05,2.47,5.24,4.61,7.77,,
August,1.81,1.88,3.35,2.63,3.12,1.40,2.63,1.55,2.03,1.78,,
September,0.85,4.35,1.04,3.34,6.11,4.07,3.49,2.96,1.28,1.40,,
October,3.16,8.00,5.63,7.20,9.50,5.09,1.67,7.76,1.14,,,
November,4.79,8.00,2.20,0.77,3.92,3.32,0.57,9.25,5.45,,,
December,5.73,5.48,0.65,4.11,1.37,8.43,1.25,4.27,2.96,,,
Total,41.06,52.94,33.56,43.22,49.67,36.63,30.68,53.20,33.37,,,
Calc annual,41.06,52.94,33.56,43.22,49.67,36.63,30.68,53.20,33.37,12.47,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
