INVERMORISTON (ALLT SAIGH),,,,,,,,,,,,,,,,,,,,
Grid ref,NH456192,Long,-4.559878,Lat,57.237384,Elevation,95,ft,,,,,,,,,,,,
Station no,5712/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.87,4.88,5.28,2.93,4.27,3,3.26,8.05,2.75,4.02,3.63
February,,,,,,,,,,6.37,3.21,2.43,3.3,3.31,4.94,2.37,3.66,2.39,2.01,2.73
March,,,,,,,,,,2.7,2.09,2.37,2.09,2.85,1.18,2.14,3.43,1.84,1.38,0.93
April,,,,,,,,,,7.09,7.08,1.44,4.34,1.32,0.91,2.33,1.44,3.2,4.63,3.2
May,,,,,,,,,,1.38,0.88,3,4.24,4.91,2.59,3.37,1.61,4.1,1.23,0.76
June,,,,,,,,,,2.41,2.78,2.2,4.35,2.61,0.77,2.47,1.89,1.13,2.58,2.18
July,,,,,,,,,,1.89,3.47,2.49,4.01,2.18,0.1,5.83,4.62,2.55,3.77,1.83
August,,,,,,,,,,3.29,4.83,4.23,3.96,2.1,0.3,5.73,6.91,3.48,2.26,5.02
September,,,,,,,,,,6.8,1.93,3.38,3.44,3.92,3.82,4.21,2.38,2.68,0.82,2.06
October,,,,,,,,,,4.96,2,4.6,1.66,6.98,5.43,5.24,4.59,5.74,5.43,1.98
November,,,,,,,,,,5.48,3.91,2.91,7.12,3.89,0.5,3.13,2.31,0.88,7.09,3.08
December,,,,,,,,,,2.62,8.51,5.49,6.62,8.84,7.63,8.47,7.32,3.78,5.75,6.24
Total,,,,,,,,,,49.86,45.57,39.82,48.06,47.18,31.17,48.55,48.21,34.52,40.97,33.64
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP unreliable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5712/2,,,,,,,,,,,,,,,,,,,
Midas,14668,,,,,,,,,,,,,,,,,,,
Hyd Stn,802425,,,,,,,,,,,,,,,,,,,
