COLCHESTER-STANWAY,,,,,,,,,,
Grid ref,TL961237,Long,0.847507,Lat,51.877377,Elevation,120,ft,,
Station no,1316/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,0.7,2.11,1.79,1.92
February,,,,,,,2.29,2.26,0.1,1.61
March,,,,,,,1.23,0.78,1.35,1.63
April,,,,,,,0.16,0.98,1.97,0.41
May,,,,,,,0.9,2.15,0.42,0.96
June,,,,,,,2.17,4.78,0.75,1.22
July,,,,,,,4.87,2.72,1.02,2.84
August,,,,,,,1.67,4.83,0.66,3.9
September,,,,,,,2.57,3.2,0.02,3.19
October,,,,,,,1.44,2.38,1.71,6.5
November,,,,,,,2.59,1.05,2.63,3.17
December,,,,,,,2.97,3.6,3.63,2.44
Total,,,,,,,23.56,30.84,16.05,29.79
