HARDWICK PUMPING STATION,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1121/7,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,1.20,1.16,1.20,0.72,3.51,3.16,2.61,5.14,2.81,,
February,,0.22,1.95,0.34,1.99,1.84,3.16,0.72,0.96,2.37,,
March,,1.37,2.49,1.23,0.41,1.28,2.39,0.19,1.60,1.77,,
April,,2.57,0.67,1.02,3.05,1.74,2.79,0.02,2.07,2.31,,
May,,3.96,1.08,0.62,0.92,1.26,4.33,1.81,0.66,1.66,,
June,,0.52,1.55,0.85,2.58,4.13,1.33,1.37,1.62,0.60,,
July,,2.66,2.08,1.27,0.70,5.46,1.58,1.45,2.33,3.07,,
August,,1.39,0.81,1.55,1.50,0.32,2.18,4.63,4.28,0.10,,
September,,2.68,1.46,3.07,3.57,2.07,0.81,1.77,0.77,1.05,,
October,,2.42,1.65,0.94,2.99,1.50,2.91,2.74,4.51,2.56,,
November,,1.71,1.72,2.01,3.58,2.38,1.49,2.60,3.46,6.00,,
December,,0.49,0.31,4.08,2.50,1.66,2.04,4.14,1.89,1.56,,
Total,,21.19,16.93,18.18,24.51,27.15,28.17,24.05,29.29,25.86,,
Calc annual,0.00,21.19,16.93,18.18,24.51,27.15,28.17,24.05,29.29,25.86,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
