"BUXTON (GOYTSHEAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2643/2/3,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,7.08,5.02,2.84,4.81,3.68,4.97,6.01,6.43,7.43,2.80,,
February,5.57,0.34,4.39,0.34,6.61,3.34,8.06,2.05,4.04,3.08,,
March,0.32,3.65,3.75,4.45,1.81,2.98,4.00,1.65,3.34,3.49,,
April,5.99,5.45,2.12,3.05,5.43,1.73,4.76,0.47,3.21,3.44,,
May,3.12,5.63,2.16,3.34,0.73,0.43,2.69,4.15,1.85,1.37,,
June,5.88,1.04,4.34,1.85,5.11,3.97,1.64,4.95,3.14,1.73,,
July,5.21,4.57,3.35,4.02,1.81,6.80,4.19,6.25,8.02,5.28,,
August,7.24,2.04,1.55,3.87,2.42,2.22,1.39,2.85,3.15,2.57,,
September,4.50,4.30,0.84,3.86,6.90,6.12,1.39,2.64,2.47,4.31,,
October,2.44,7.96,6.17,6.34,8.39,5.96,2.74,6.54,3.45,4.74,,
November,7.41,4.02,2.97,2.28,7.17,6.01,2.25,6.23,7.77,9.29,,
December,1.90,2.00,0.54,7.97,5.43,4.85,4.06,7.46,2.98,6.12,,
Total,56.66,46.02,35.02,46.18,55.49,49.38,43.18,51.67,50.85,48.22,,
Calc annual,56.66,46.02,35.02,46.18,55.49,49.38,43.18,51.67,50.85,48.22,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
