MANORBIER N.P. SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6442,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,2.75,5.57,4.42,7.45,2.39,,
February,,,,,,5.20,4.22,2.99,3.08,2.67,,
March,,,,,,1.22,0.31,3.30,4.70,0.74,,
April,,,,,,2.31,1.78,1.68,1.34,1.03,,
May,,,,,,4.00,1.93,1.52,1.08,3.56,,
June,,,,,,0.00,2.08,2.72,4.20,1.71,,
July,,,,,,2.97,3.20,4.52,2.17,2.31,,
August,,,,,,2.86,2.75,4.15,2.41,3.01,,
September,,,,,,2.78,1.20,4.30,1.90,1.05,,
October,,,,,,4.93,2.95,2.10,7.51,5.63,,
November,,,,,,3.70,8.92,5.00,4.64,12.17,,
December,,,,,,3.20,0.76,3.80,5.06,8.02,,
Total,,,,,,35.92,35.67,40.50,45.54,44.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,35.92,35.67,40.50,45.54,44.29,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,NaN,
