BOTTOMS RESERVOIR,,,,,,,,,,,,
Grid ref,SK024973,Long,-1.965311,Lat,53.472428,,,,,,,
Station no,2746/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.48,2.18,4.62,2.63,5.22,2.91,4.19,3.82,6.47,,
February,,1.62,3.90,3.22,1.66,1.53,2.97,6.10,0.48,2.33,,
March,,2.62,2.54,2.74,2.17,1.45,3.62,2.41,1.91,1.21,,
April,,3.83,3.01,0.93,2.03,2.78,0.69,1.29,3.53,2.41,,
May,,2.22,2.52,3.77,4.08,1.46,1.11,3.55,1.10,1.93,,
June,,3.20,3.99,2.72,2.82,3.72,2.02,5.04,2.66,1.73,,
July,,3.49,6.18,6.37,1.16,6.15,4.56,5.24,3.75,5.96,,
August,,3.08,5.11,6.78,0.97,10.80,6.00,4.54,0.42,5.50,,
September,,4.33,2.52,4.72,2.21,3.16,8.01,4.47,0.20,3.52,,
October,,5.41,2.25,7.18,2.51,3.36,4.65,4.27,3.24,4.58,,
November,,3.23,3.64,5.77,1.86,2.03,2.72,1.62,5.31,4.71,,
December,,3.93,1.91,6.45,4.72,5.32,5.46,3.82,5.93,3.48,,
Total,,41.44,39.75,55.27,28.82,46.98,44.72,46.54,32.35,43.83,,
Calc annual,0.00,41.44,39.75,55.27,28.82,46.98,44.72,46.54,32.35,43.83,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
