BRAILSFORD (SHIRLEY HOUSE),,,,,,,,,,,,
Grid ref,SK215418,Long,-1.681288,Lat,52.973127,,,,,,,
Station no,2648/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.03,2.73,2.60,5.29,,
February,,,,,,,2.70,4.40,0.17,2.19,,
March,,,,,,,2.94,1.74,1.56,1.72,,
April,,,,,,,0.21,1.03,2.46,1.19,,
May,,,,,,,0.95,3.71,0.50,1.48,,
June,,,,,,,1.31,3.86,0.72,2.80,,
July,,,,,,,4.93,4.13,1.88,3.81,,
August,,,,,,,5.85,1.76,1.10,3.93,,
September,,,,,,,6.23,2.80,0.11,5.32,,
October,,,,,,,2.17,3.41,1.91,5.28,,
November,,,,,,,1.91,1.46,3.63,3.97,,
December,,,,,,,2.52,3.63,4.47,3.18,,
Total,,,,,,,33.75,34.66,21.11,40.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.75,34.66,21.11,40.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
