"KIRKCUDBRIGHT, THE GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8840,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,6.76,2.69,3.81,4.36,,,,,
February,,,,2.07,4.43,6.00,3.82,,,,,
March,,,,4.01,4.20,1.86,1.72,,,,,
April,,,,3.26,0.79,2.77,2.93,,,,,
May,,,,3.89,1.67,1.59,3.46,,,,,
June,,,,1.90,0.89,0.92,2.81,,,,,
July,,,,0.57,1.81,4.00,3.41,,,,,
August,,,,1.75,5.20,2.77,3.34,,,,,
September,,,,3.01,1.41,2.60,1.86,,,,,
October,,,,2.68,1.67,3.56,7.33,,,,,
November,,,,4.81,4.30,2.36,4.42,,,,,
December,,,,3.04,6.60,7.78,4.67,,,,,
Total,,,,37.75,35.66,40.02,44.13,,,,,
Calc annual,0.00,0.00,0.00,37.75,35.66,40.02,44.13,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
