"BUCKNALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4255,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.75,1.51,2.61,2.93,1.25,2.38,0.70,2.54,,,,
February,2.35,0.92,1.10,0.62,0.86,2.67,3.89,0.86,,,,
March,0.58,2.10,2.18,2.55,2.06,1.35,3.69,1.49,,,,
April,1.43,1.05,0.21,2.04,1.09,0.53,1.66,2.16,,,,
May,2.39,1.90,1.78,2.22,1.80,1.21,2.35,1.12,,,,
June,2.65,3.78,4.67,0.85,1.80,0.64,2.45,1.08,,,,
July,2.52,0.46,3.33,0.58,2.79,3.25,2.53,0.91,,,,
August,3.27,1.97,5.32,0.89,1.29,3.19,2.75,4.85,,,,
September,0.39,1.91,1.43,1.20,0.64,0.89,1.03,1.02,,,,
October,1.94,2.03,2.04,4.24,2.06,1.26,1.84,2.72,,,,
November,2.69,2.11,3.05,2.07,2.55,2.45,2.61,1.49,,,,
December,3.39,3.95,3.01,0.40,4.84,4.72,2.64,1.42,,,,
Total,25.35,23.69,30.73,20.59,23.03,24.54,28.14,21.66,,,,
Calc annual,25.35,23.69,30.73,20.59,23.03,24.54,28.14,21.66,0.00,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
