MAWDESLEY,,,,,,,,,,,,
Grid ref,SD493150,Long,-2.768120,Lat,53.629060,,,,,,,
Station no,3005/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.39,2.81,2.49,4.78,2.57,3.22,2.99,5.28,,
February,,,1.01,3.40,2.45,0.53,3.46,5.66,0.33,2.58,,
March,,,1.21,2.64,1.74,1.33,2.58,1.91,1.37,1.60,,
April,,,2.69,1.01,1.85,1.98,0.63,1.05,2.92,1.89,,
May,,,1.78,2.65,2.83,1.68,1.61,3.84,1.41,2.56,,
June,,,1.92,2.66,3.33,2.13,1.89,4.08,2.46,1.51,,
July,,,4.32,4.87,1.06,4.91,4.80,3.76,5.11,5.17,,
August,,,4.17,4.75,1.41,11.22,6.31,4.67,0.74,5.98,,
September,,,4.43,4.07,4.15,3.20,5.81,5.03,0.39,3.84,,
October,,,1.65,7.53,2.35,-999.00,5.11,3.46,3.53,3.56,,
November,,,4.56,6.48,2.13,1.51,1.48,1.68,5.35,7.64,,
December,,,1.61,4.37,4.32,3.47,3.72,3.39,7.41,3.90,,
Total,,,30.74,47.24,30.11,39.12,39.97,41.75,34.01,45.51,,
Calc annual,0.00,0.00,30.74,47.24,30.11,36.74,39.97,41.75,34.01,45.51,,
Difference,NaN,NaN,0.00,0.00,-0.00,2.38,0.00,-0.00,-0.00,-0.00,,
