FARNDALE GAUGE NO 8,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3465/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,2.80,4.63,5.81,5.96,3.53,9.50,,,
February,,,,2.96,5.18,,,2.47,,,,
March,,,,6.26,1.60,7.46,,0.32,4.85,,,
April,,,,4.40,3.40,2.66,-999.00,0.39,1.77,,,
May,,,,1.43,1.93,2.32,3.26,4.63,3.38,,,
June,,,,2.43,2.98,4.16,2.28,3.21,4.90,,,
July,,,,4.39,0.57,5.32,2.09,4.46,4.71,,,
August,,,,4.33,3.65,3.48,2.77,3.76,3.69,,,
September,,,,2.20,6.27,3.42,2.32,3.33,4.59,,,
October,,,,3.07,4.78,3.19,3.58,5.47,7.81,,,
November,,,,4.48,6.76,4.40,5.00,4.08,3.69,,,
December,,,,6.62,3.90,3.01,8.60,6.70,2.74,,,
Total,,,,45.37,45.65,45.23,53.16,42.35,51.63,,,
Calc annual,0.00,0.00,0.00,45.37,45.65,45.23,35.86,42.35,51.63,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,17.30,0.00,0.00,NaN,,
