BOSBURY,,,,,,,,,,,,
Grid ref,SO691433,Long,-2.452384,Lat,52.087181,,,,,,,
Station no,2259/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.82,,
February,,,,,,,,,,2.14,,
March,,,,,,,,,,2.53,,
April,,,,,,,,,2.25,1.43,,
May,,,,,,,,,0.90,1.57,,
June,,,,,,,,,0.78,2.24,,
July,,,,,,,,,1.76,2.60,,
August,,,,,,,,,0.74,3.19,,
September,,,,,,,,,0.17,4.56,,
October,,,,,,,,,1.96,6.62,,
November,,,,,,,,,4.15,4.72,,
December,,,,,,,,,6.29,2.73,,
Total,,,,,,,,,,39.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,39.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
