WORCESTER-PARK-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ228667,Long,-0.23657,Lat,51.38608,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.96,2.8,1.32,2.2,1.41,1.49,0.82,3.87,4.2,2.27,3.94,2.15,2.3,2.29,5.11,1.34,1.19,1.51,1.35,2.92,0.86,0.84,3.03,1.94,0.91,1.3,2.25,3.66,1.69,1.94,2.14,1.88
February,,,,,,,,,,0.24,0.54,1.5,0.16,3.06,0.26,2.68,1.79,4.14,0.5,1.24,1.47,1.74,0.6,1.66,0.8,1.26,2.24,1.4,1.18,1.01,3.93,6.75,0.94,1.24,2.17,1.42,0.49,2.8,2.26,0.06,1.54
March,,,,,,,,,,0,1.5,0.26,1.29,2.3,2.21,0.27,1.04,2.99,0.39,1.04,3.11,3.38,1.8,0.29,0.09,0.97,1.14,5.07,0.83,0.91,0.6,3.19,2.45,0.48,2.18,1.18,0.76,0.73,1.53,2.01,1.65
April,,,,,,,,,,0.87,1.51,4.24,2.3,0.58,2.11,2.85,1.55,2.14,0.11,2.33,1.64,1.38,1.01,0.87,1.48,1.08,2.52,1.51,1.1,1.97,2.95,2.77,1.27,2.21,0.34,0.25,1.08,0.29,1.22,1.86,0.64
May,,,,,,,,,,1.29,2.9,2.59,4.39,3.01,0.45,1.03,0.62,2.37,1.48,1.51,1.06,1.98,3.14,2.15,0.93,2.85,3.7,1.51,2.09,2.13,1.52,2.15,2.99,1.43,3.22,3.62,0.33,1.48,2.34,0.73,1.91
June,,,,,,,,,,0.85,0.47,2.09,1,2.09,1.08,4.82,2.59,1.79,0.57,0.94,0.72,2.57,1.61,1.26,1.99,1.35,2.34,1.85,1.9,0.61,1.43,1.05,1.86,1.16,3.71,2.13,2.11,1.05,4.54,0.61,1.36
July,,,,,,,,,,1.17,1.53,3.36,2.57,1.41,,1.32,3.04,0.62,0.94,2.82,2.26,3.89,2.08,1.48,2.3,3.25,1.33,1.34,1.04,0.89,3.47,1.86,0.68,3.52,2.76,1.26,6.3,2.89,2.25,1.04,2.67
August,,,,,,,,,,2.56,2.48,4.88,0.98,0.64,1.78,2.77,0.92,2.72,2.01,4.19,0.1,4.7,1.7,1.25,2.62,1.5,4.34,0.23,3.31,1.29,1.8,2.76,2.16,1.41,2.5,1.32,3.15,3.68,3.23,1.51,5.13
September,,,,,,,,,,0.17,2.52,3.02,1.83,2.97,1.25,2.49,1.88,1.67,2.19,1.46,1.22,0.36,1.16,1.66,2.35,1.82,3.01,1.34,1.04,0.48,2.54,3.3,3.55,2.72,2.43,1.57,2,2.51,4.42,0.04,2.53
October,,,,,,,,,,2.62,0.91,0.31,5.41,1.23,1.08,2.83,2.21,2.65,2.33,5.64,2.55,0.85,3.71,2.57,3.11,2.36,0.86,0.15,2.65,5.65,0.45,0.8,2.56,3.46,2.25,2.82,1.35,1.84,2.97,2.14,4.92
November,,,,,,,,,,5.09,4.59,2.28,1.1,0.94,2.47,4.8,3.09,1.49,3.96,4.09,7.25,2.63,2.07,1.08,3.43,0.21,3.47,1.05,1.42,2.13,5.04,6.15,3.04,1.13,4.16,0.69,0.56,2.56,1.71,3.48,3.64
December,,,,,,,,,,5.09,1.6,0.63,0.46,0.38,5.07,2.84,2.22,4.27,3.04,1.11,1.08,1.67,2.39,1.6,1.42,2.93,2.29,2.39,3.41,1.14,1.72,2.18,2.32,0.57,2.04,2.12,2.69,1.83,2.57,3.46,2.35
Total,,,,,,,,,,20.91,23.35,26.48,23.69,20.02,,29.52,24.82,31.05,19.79,30.31,24.61,27.45,23.56,20.98,21.86,20.77,28.75,19.19,22.89,19.07,26.29,35.99,25.76,20.24,29.06,20.63,24.48,23.35,30.98,19.08,30.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 July 1st Gauge moved 70 yrds WSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Nov 24th Recording gauge installed and inspected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954 Nov 8th Inspection Gauge dented but no leaks Site reasonable, slightly over sheltered by buildings SW and NW Best available site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
