CESSNOCK CASTLE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5228/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.82,7.23,4.52,5.72,3.24,4.64,4.64,6.65,3.80,2.94,,
February,4.41,0.10,4.50,0.76,5.92,1.81,5.13,2.12,5.59,1.54,,
March,0.95,3.12,3.14,2.50,2.54,2.54,0.89,3.51,3.98,6.20,,
April,2.04,3.78,2.71,3.64,3.19,1.26,1.85,0.82,2.25,2.54,,
May,2.96,2.85,2.10,3.97,0.74,1.65,1.43,4.25,0.64,1.07,,
June,6.05,1.79,2.44,2.98,4.77,2.14,3.75,5.72,1.88,1.20,,
July,4.42,4.52,4.51,3.08,1.75,7.68,5.69,5.94,4.57,4.45,,
August,1.49,2.34,4.24,4.48,3.01,5.00,3.19,3.26,2.00,3.39,,
September,1.46,6.71,0.91,5.35,7.16,4.26,2.86,4.78,2.03,3.85,,
October,5.10,6.73,3.58,8.15,9.00,6.32,3.05,10.72,1.87,4.17,,
November,6.95,4.55,1.70,1.22,5.91,4.06,0.85,7.57,8.89,5.19,,
December,5.07,8.61,1.54,4.84,3.19,6.47,2.55,2.93,2.65,6.48,,
Total,45.72,52.33,35.89,46.69,50.42,47.83,35.88,58.27,40.15,43.02,,
Calc annual,45.72,52.33,35.89,46.69,50.42,47.83,35.88,58.27,40.15,43.02,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
