LYMINGTON (WATERFORD),,,,,,,,,,,,
Grid ref,SZ329948,Long,-1.534997,Lat,50.751873,,,,,,,
Station no,632/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.16,1.86,3.61,4.79,2.50,4.31,3.05,3.61,,
February,,,1.15,3.15,1.83,0.21,3.43,2.67,0.23,2.96,,
March,,,0.49,3.81,0.88,0.64,2.16,1.46,2.86,2.00,,
April,,,1.46,0.23,0.44,1.68,0.08,0.47,2.32,1.18,,
May,,,1.92,1.90,4.15,0.39,1.14,2.61,0.74,1.56,,
June,,,2.02,2.69,4.09,3.87,2.10,3.47,0.56,3.25,,
July,,,3.40,3.62,1.10,2.87,3.12,2.43,1.85,4.15,,
August,,3.90,1.81,3.73,0.91,4.63,2.24,3.50,2.01,4.58,,
September,,4.39,2.95,2.73,1.82,3.82,3.25,5.10,0.18,6.88,,
October,,3.60,4.17,2.76,5.19,1.73,2.42,3.30,2.95,7.98,,
November,,4.56,1.42,5.57,2.52,0.66,2.79,2.96,4.21,5.50,,
December,,3.03,0.69,3.00,5.11,5.08,2.12,4.25,6.62,3.59,,
Total,,,22.64,35.05,31.65,30.37,27.35,36.53,27.58,47.24,,
Calc annual,0.00,19.48,22.64,35.05,31.65,30.37,27.35,36.53,27.58,47.24,,
Difference,NaN,NaN,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
