CLEETHORPES - OUTFALL PUMPING STATION,,,,,,,,,,,,,,
Grid ref,TA321071,Long,-0.008,Lat,53.544,Elevation,25,ft,,,,,,
Station no,2573/5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.93,3.86,1.15,1.10,2.11,1.60,0.83,1.32,1.71,5.42,1.78,2.22,2.29,3.91
February,2.30,0.91,0.53,3.74,2.56,0.67,1.44,2.59,2.37,2.37,2.18,4.12,0.27,1.98
March,4.54,0.52,0.66,0.66,2.35,2.29,0.69,1.88,2.31,0.42,1.15,1.88,1.77,1.09
April,1.63,2.34,2.08,2.80,1.48,1.04,2.02,0.45,0.90,1.09,0.27,0.80,1.81,0.98
May,0.63,2.01,1.13,2.30,3.50,1.40,2.05,1.57,2.99,0.79,1.75,2.40,0.36,0.54
June,2.25,3.22,0.87,1.77,1.59,1.61,2.14,1.82,2.24,3.08,1.91,4.17,1.52,0.17
July,0.92,0.46,2.19,2.01,1.46,0.43,1.48,2.56,0.53,4.88,3.28,3.82,1.57,2.67
August,0.03,2.44,1.42,2.03,4.30,2.06,2.60,3.50,0.85,4.64,4.27,1.28,1.21,4.75
September,0.70,2.13,0.62,2.58,1.09,3.13,1.28,1.61,1.82,2.32,4.38,1.77,0.23,2.23
October,0.31,1.63,2.73,1.12,1.60,2.33,1.89,2.84,1.40,1.42,1.09,1.71,1.48,5.30
November,1.13,0.79,2.67,3.82,3.15,2.49,1.13,3.43,1.05,1.09,2.12,0.61,2.52,3.12
December,2.47,2.42,1.70,2.00,1.47,1.86,1.00,2.27,2.16,1.21,2.17,2.08,3.84,3.30
Total,18.84,22.73,17.75,25.93,26.66,20.91,18.55,25.84,20.33,28.73,26.35,26.86,18.87,30.04
,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/253,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/257,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The reading for February 1947 is part estimated for snow and has been retained.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# The station continued until 1982 according to MIDAS. (MIDAS src_id = 3765),,,,,,,,,,,,,,
