"MALVERN (HALL GREEN)",,,,,,,,,,,,
Grid ref,SO800457,Long,-2.293448,Lat,52.109261,,,,,,,
Station no,2381/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.28,4.33,5.46,,
February,,,,,,,,4.23,0.07,2.27,,
March,,,,,,,,1.10,2.42,2.62,,
April,,,,,,,,0.46,3.00,1.27,,
May,,,,,,,,2.61,0.83,1.50,,
June,,,,,,,,3.14,1.15,2.09,,
July,,,,,,,,2.78,1.82,2.58,,
August,,,,,,,,1.91,1.19,2.74,,
September,,,,,,,,5.70,0.12,3.96,,
October,,,,,,,1.01,2.35,2.18,6.62,,
November,,,,,,,2.46,2.51,4.43,4.38,,
December,,,,,,,2.03,3.51,4.90,2.99,,
Total,,,,,,,,32.58,26.44,38.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.50,32.58,26.44,38.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
