WORCESTER (LONDON ROAD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2400,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,2.82,1.32,2.90,1.57,3.03,3.25,3.85,1.31,4.02,
February,,,2.41,4.78,0.48,2.56,2.33,2.62,2.04,0.62,0.72,
March,,,1.75,1.60,1.08,0.59,0.58,2.20,2.78,0.05,2.37,
April,,,2.25,2.83,2.93,1.93,2.21,1.28,1.27,0.85,2.63,
May,,,1.43,1.76,6.42,3.35,3.56,1.60,1.22,1.57,2.89,
June,,,0.88,0.37,2.67,0.04,1.46,3.02,2.12,1.94,1.07,
July,,,4.55,2.74,3.76,3.03,2.04,3.74,1.32,1.70,2.91,
August,,,3.24,1.61,2.28,2.81,2.46,4.13,1.74,1.42,2.82,
September,,,2.23,1.86,3.78,3.43,0.70,4.57,0.77,1.37,4.62,
October,,1.54,0.60,4.38,4.06,2.80,2.73,1.75,4.46,4.29,2.45,
November,,1.97,1.12,1.45,2.43,1.69,7.07,3.20,2.39,7.28,3.20,
December,,1.42,3.49,2.46,2.66,2.30,0.59,2.34,2.14,5.56,3.56,
Total,,,26.77,27.16,35.45,26.10,28.76,33.70,26.10,27.96,33.26,
Calc annual,0.00,4.93,26.77,27.16,35.45,26.10,28.76,33.70,26.10,27.96,33.26,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
