TROWELL RECTORY,,,,,,,,,,,,
Grid ref,SK494399,Long,-1.266140,Lat,52.954210,,,,,,,
Station no,RR8138,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.15,1.30,1.95,2.78,0.95,,,,,,
February,,1.24,2.30,1.30,3.11,0.93,,,,,,
March,,2.13,1.72,3.70,1.73,2.77,,,,,,
April,,1.48,2.27,2.80,1.35,1.96,,,,,,
May,,0.97,2.60,3.40,1.26,0.68,,,,,,
June,,1.87,1.92,1.74,0.76,3.19,,,,,,
July,,4.60,1.35,2.41,2.18,1.18,,,,,,
August,,1.16,4.01,5.35,2.95,3.37,,,,,,
September,,1.26,1.29,3.31,1.86,1.54,,,,,,
October,,1.69,2.68,6.33,0.64,1.45,,,,,,
November,,2.13,1.38,2.08,1.41,3.17,,,,,,
December,,5.35,1.76,1.28,1.66,0.94,,,,,,
Total,,25.03,24.58,35.65,21.69,22.13,,,,,,
Calc annual,0.00,25.03,24.58,35.65,21.69,22.13,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
