STURMINSTER NEWTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1626/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.53,3.25,3.03,3.18,0.80,5.97,6.78,3.39,3.64,3.08,,
February,2.05,0.04,5.12,0.08,3.79,3.20,5.29,0.98,1.84,3.90,,
March,1.23,1.70,3.52,3.23,1.01,4.65,4.92,0.22,1.37,2.73,,
April,2.67,2.87,1.19,2.33,4.40,1.47,1.79,0.06,1.97,1.67,,
May,2.86,3.94,3.14,1.45,1.20,0.57,2.76,2.15,0.64,1.95,,
June,3.10,2.22,2.43,1.06,3.76,3.00,0.97,1.02,2.31,0.44,,
July,4.78,2.15,2.11,0.71,0.45,5.43,4.16,3.38,5.75,3.20,,
August,3.78,1.03,1.27,3.15,2.48,0.12,1.44,2.27,3.84,0.13,,
September,1.73,3.82,2.59,2.79,2.99,3.29,3.20,1.79,0.75,1.46,,
October,0.42,6.33,2.22,1.80,5.38,1.58,5.20,3.09,4.63,5.57,,
November,5.91,2.09,0.69,1.61,7.51,3.28,2.09,5.24,6.56,7.97,,
December,1.18,1.61,0.94,8.98,5.44,3.82,4.73,4.34,1.97,3.29,,
Total,32.24,31.05,28.25,30.37,39.21,36.38,43.33,27.93,37.27,35.39,,
Calc annual,32.24,31.05,28.25,30.37,39.21,36.38,43.33,27.93,35.27,35.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,,
