LENHAM (QUARRY),,,,,,,,,,,,
Grid ref,TQ915524,Long,0.741960,Lat,51.238634,,,,,,,
Station no,291/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.99,1.27,1.62,,3.47,1.56,2.76,2.26,3.40,,
February,,1.09,2.06,1.94,,1.71,3.63,2.55,0.00,2.44,,
March,,4.43,0.38,2.04,,0.50,1.08,1.52,1.92,2.80,,
April,,0.77,2.04,0.25,,1.43,0.58,1.99,2.36,1.08,,
May,,1.14,1.76,1.18,,0.28,1.43,1.45,0.93,1.77,,
June,,0.98,2.53,4.14,,1.91,1.51,4.41,0.98,1.69,,
July,,1.00,3.21,2.13,,3.11,3.18,1.79,2.26,3.80,,
August,,3.32,2.17,3.60,,3.23,1.97,3.64,1.18,4.73,,
September,,4.86,3.66,1.57,,2.06,2.59,3.59,0.37,2.99,,
October,,2.42,2.43,2.03,,1.18,1.97,3.51,1.99,7.90,,
November,,4.61,1.65,4.65,,0.85,2.72,1.58,4.25,5.29,,
December,,2.88,0.72,1.21,,2.54,2.61,3.94,7.82,4.60,,
Total,,29.49,23.88,26.36,,22.27,24.83,32.73,26.32,42.49,,
Calc annual,0.00,29.49,23.88,26.36,0.00,22.27,24.83,32.73,26.32,42.49,,
Difference,NaN,0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,,
