LIFTON (RADDON SLOPE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1661/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.91,5.63,7.77,2.96,3.61,5.73,4.37,9.90,,,,
February,6.57,0.78,2.36,0.71,3.48,3.59,0.56,1.83,,,,
March,5.76,3.13,0.80,0.44,1.50,2.18,8.63,1.83,,,,
April,0.98,2.10,1.17,1.83,1.49,2.10,2.69,2.78,,,,
May,2.79,7.36,5.62,0.66,4.75,5.17,2.30,3.46,,,,
June,2.90,0.52,1.44,3.08,4.20,3.83,3.46,2.15,,,,
July,1.68,1.96,4.23,2.45,3.53,2.79,2.53,2.27,,,,
August,8.25,2.92,3.25,2.21,2.00,5.61,0.81,3.69,,,,
September,0.97,3.67,5.61,2.82,1.73,6.62,1.64,2.04,,,,
October,2.69,1.98,4.02,5.58,5.84,2.99,2.31,5.08,,,,
November,3.53,1.05,2.37,8.94,0.91,7.74,4.32,2.37,,,,
December,4.09,6.08,3.13,4.41,6.71,5.23,4.65,9.91,,,,
Total,44.12,37.18,41.77,36.09,39.75,53.58,38.27,47.31,,,,
Calc annual,44.12,37.18,41.77,36.09,39.75,53.58,38.27,47.31,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
