HUTTON CRANSWICK - THE GREEN,,,,,,,,,,,,,,
Grid ref,TA023522,Long,-0.442,Lat,53.956,Elevation,66,ft,,,,,,
Station no,3401/3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.35,5.00,0.99,1.39,1.88,2.06,1.08,1.80,1.56,5.18,1.65,2.76,2.13,5.53
February,3.83,1.32,0.77,3.93,2.93,0.88,2.41,2.61,2.16,2.73,2.47,4.33,0.30,2.05
March,4.73,0.88,1.28,1.27,3.15,2.19,0.38,2.32,2.54,1.18,1.31,2.33,1.51,1.39
April,1.84,1.71,2.13,2.82,1.34,1.49,2.67,0.39,0.85,0.99,0.41,1.04,2.70,1.19
May,0.62,1.68,1.63,2.00,4.23,1.52,1.77,2.25,3.25,0.87,1.04,2.19,0.63,0.71
June,2.47,4.59,0.70,1.12,1.60,2.01,2.27,1.68,1.93,2.39,2.37,4.65,1.31,0.45
July,1.32,0.89,1.66,3.11,1.83,1.75,1.10,1.80,1.16,4.08,3.51,4.98,1.63,3.85
August,0.63,3.80,2.23,3.94,5.64,2.13,2.15,5.66,0.64,5.40,4.30,1.92,0.75,3.60
September,1.19,1.49,0.98,3.17,1.53,4.11,1.02,2.28,0.83,1.56,2.91,1.92,0.21,2.34
October,0.81,1.72,2.86,1.33,1.54,2.69,1.65,4.16,1.94,1.32,2.08,2.35,2.20,6.65
November,1.92,1.38,4.28,4.53,3.16,3.13,2.12,3.78,1.45,0.77,2.65,0.69,3.21,5.09
December,1.45,2.16,2.16,3.52,2.35,2.04,1.38,2.64,3.21,2.30,2.34,3.54,4.24,3.14
Total,23.16,26.62,21.67,32.13,31.18,26.00,20.00,31.37,21.52,28.77,27.04,32.70,20.82,35.99
,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/119,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/206,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The station continued until 1968 according to MIDAS. (MIDAS src_id = 2159),,,,,,,,,,,,,,
